"","school_id","short_name","chronic_truancy_pct","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","sat_grade_11_score_school_avg","attainment_all_grades_school_pct","school_type","primary_category","truancy_bin","mobility_rate_pct"
"74",609709,"GAGE PARK HS",70.7,17.3,4,2.3,790,8.2,"Neighborhood","HS","60-80%",27.9
"75",609710,"HARLAN HS",84.4,5.5,6.1,3.8,768,5.2,"Neighborhood","HS","80-100%",27.3
"76",609712,"HIRSCH HS",74.7,0,7.7,0,713,1.7,"Neighborhood","HS","60-80%",35.2
"77",609713,"HYDE PARK HS",70.5,4.7,8,2.1,803,5.1,"Neighborhood","HS","60-80%",17.8
"78",609715,"KELLY HS",63.9,27,24.3,19.1,890,23.5,"Neighborhood","HS","60-80%",10.8
"79",609716,"KELVYN PARK HS",73,17.2,8.9,0,780,8.5,"Neighborhood","HS","60-80%",16.7
"80",609718,"KENNEDY HS",66.5,35.2,28,22,898,28.7,"Neighborhood","HS","60-80%",11.4
"81",609719,"LAKE VIEW HS",65.4,36.5,24.7,28.3,918,30.3,"Neighborhood","HS","60-80%",11.5
"82",609720,"LANE TECH HS",29,95.3,96.8,96.3,1235,96.1,"Selective enrollment","HS","20-40%",2
"83",609722,"MANLEY HS",81.9,6.3,0,0,769,2.2,"Neighborhood","HS","80-100%",58.3
"84",609723,"MARSHALL HS",86.8,9.3,2.8,0,774,4.1,"Neighborhood","HS","80-100%",36.1
"85",609724,"MATHER HS",60.5,33,28.1,22.8,914,28.2,"Neighborhood","HS","60-80%",11.6
"86",609725,"MORGAN PARK HS",82.1,12.5,7.5,4.3,812,9,"Neighborhood","HS","80-100%",11.4
"87",609726,"BROOKS HS",49.7,91.9,87.9,73.1,1074,83.8,"Selective enrollment","HS","40-60%",3.1
"88",609727,"PHILLIPS HS",87.5,3.9,5,2,782,3.7,"Neighborhood","HS","80-100%",32.5
"89",609728,"ROOSEVELT HS",66.6,29.2,11.8,9.9,850,17.1,"Neighborhood","HS","60-80%",17.1
"90",609729,"SCHURZ HS",74.5,31.1,20,11,855,20.3,"Neighborhood","HS","60-80%",14.7
