"","school_id","short_name","long_name","school_type","primary_category","address","city","state","zip","progress_report_year","school_survey_student_response_rate_pct","school_survey_teacher_response_rate_pct","school_survey_involved_families","school_survey_supportive_environment","school_survey_ambitious_instruction","school_survey_effective_leaders","school_survey_collaborative_teachers","school_survey_safety","suspensions_per_100_students_year_2_pct","misconducts_to_suspensions_year_2_pct","average_length_suspension_year_2_pct","behavior_discipline_year_1","behavior_discipline_year_2","student_attendance_year_1_pct","student_attendance_year_2_pct","teacher_attendance_year_1_pct","teacher_attendance_year_2_pct","one_year_dropout_rate_year_1_pct","one_year_dropout_rate_year_2_pct","mobility_rate_pct","chronic_truancy_pct","school_latitude","school_longitude","sat_grade_11_score_school_avg","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","attainment_all_grades_school_pct","truancy_bin"
"17",609954,"GREGORY","John Milton Gregory Elementary School","Neighborhood","ES","3715 W POLK ST","Chicago","Illinois",60624,2022,62,76.5,1,2,2,3,2,1,3.9,35.5,"2.6 days",2021,2022,89.3,89.4,86.5,91.3,NA,NA,26.4,40.6,41.870742,-87.718666,0,0,0,0,0,"40-60%"
"18",610082,"MOUNT GREENWOOD","Mount Greenwood Elementary School","Neighborhood","ES","10841 S HOMAN AVE","Chicago","Illinois",60655,2022,71.4,75.6,5,5,5,4,4,5,NA,NA,NA,2021,2022,97.1,95.1,95.8,96.2,NA,NA,2,8.2,41.695734,-87.70581,0,0,0,0,0,"0-20%"
"19",609959,"HAINES","John Charles Haines Elementary School","Neighborhood","ES","247 W 23RD PL","Chicago","Illinois",60616,2022,73,51.1,4,3,3,4,4,2,0.4,11.1,"2.0 days",2021,2022,98.9,96.5,89.4,93.1,NA,NA,6,7.1,41.849958,-87.633806,0,0,0,0,0,"0-20%"
"20",610279,"TANNER","Henry O Tanner Elementary School","Neighborhood","ES","7350 S EVANS AVE","Chicago","Illinois",60619,2022,79,65.7,3,2,4,3,4,2,25.4,43.2,"1.8 days",2021,2022,86.7,84.1,88.9,92.1,NA,NA,21.2,61.6,41.760673,-87.606791,0,0,0,0,0,"60-80%"
"21",610223,"WENTWORTH","Daniel S Wentworth Elementary School","Neighborhood","ES","1340 W 71ST ST","Chicago","Illinois",60636,2022,60.1,68.9,2,2,2,2,2,1,7.8,45.2,"1.5 days",2021,2022,87.3,84.8,87.4,92.8,NA,NA,21.8,55.8,41.765076,-87.658205,0,0,0,0,0,"40-60%"
"22",610590,"BRONZEVILLE CLASSICAL","Bronzeville Classical Elementary School","Classical","ES","8 W ROOT","Chicago","Illinois",60609,2022,99.9,64,5,4,5,4,4,4,0.6,40,"2.5 days",2021,2022,98.6,94.5,92.6,92.6,NA,NA,NA,13,41.819249,-87.626621,0,0,0,0,0,"0-20%"
"23",609723,"MARSHALL HS","John Marshall Metropolitan High School","Neighborhood","HS","3250 W ADAMS ST","Chicago","Illinois",60624,2022,56.1,73.1,3,3,4,2,2,2,36.4,14.3,"2.6 days",2021,2022,57.6,64.3,85.7,92.6,4.7,9.5,36.1,86.8,41.878444,-87.70805,774,9.3,2.8,0,4.1,"80-100%"
"24",610274,"JOHNSON","James Weldon Johnson Elementary School","Neighborhood","ES","1420 S ALBANY AVE","Chicago","Illinois",60623,2022,90.4,67.9,2,3,3,2,2,2,3.8,24.4,"1.9 days",2021,2022,87.6,87.8,91.7,91.3,NA,NA,22.6,47.7,41.861836,-87.703139,0,0,0,0,0,"40-60%"
"25",609964,"HAMLINE","John H Hamline Elementary School","Neighborhood","ES","4747 S BISHOP ST","Chicago","Illinois",60609,2022,84.7,89.1,3,3,3,2,3,2,3.2,21.7,"2.1 days",2021,2022,87.3,84.6,89.8,92,NA,NA,12.5,54.8,41.807242,-87.661175,0,0,0,0,0,"40-60%"
"26",610070,"MCPHERSON","James B McPherson Elementary School","Neighborhood","ES","4728 N WOLCOTT AVE","Chicago","Illinois",60640,2022,72.7,62,3,3,3,1,2,3,NA,NA,NA,2021,2022,95.9,92.6,92.3,93,NA,NA,7.4,22.6,41.967847,-87.676288,0,0,0,0,0,"20-40%"
